item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
confess_jackson,jackson,confess,330,high_prior,Jackson is training for a marathon,block1,0.30000000000000004,0.89,13: Jackson ran 10 miles,Jackson ran 10 miles,Jackson ran 10 miles,factH,Jackson ran 10 miles-factH,0.794718826405868,0.7780568459657702,0.8111986552567236,0.3297807025957143,-0.32792531120331947,0.8883817427385892,0.3007722007722008
confess_jackson,jackson,confess,346,low_prior,Jackson is obese,block1,0,1,13: Jackson ran 10 miles,Jackson ran 10 miles,Jackson ran 10 miles,factL,Jackson ran 10 miles-factL,0.15021881838074397,0.1357100656455142,0.16622100656455144,-0.31471930542940973,-0.6279253112033195,0.9979253112033195,0.0019305019305019305
confess_jackson,jackson,confess,412,high_prior,Jackson is training for a marathon,block1,0.69,0.31,13: Jackson ran 10 miles,Jackson ran 10 miles,Jackson ran 10 miles,factH,Jackson ran 10 miles-factH,0.794718826405868,0.7780568459657702,0.8111986552567236,0.3297807025957143,0.06207468879668043,0.3107883817427386,0.6892664092664091
confess_jackson,jackson,confess,462,high_prior,Jackson is training for a marathon,block1,0.73,0.17,13: Jackson ran 10 miles,Jackson ran 10 miles,Jackson ran 10 miles,factH,Jackson ran 10 miles-factH,0.794718826405868,0.7780568459657702,0.8111986552567236,0.3297807025957143,0.10207468879668047,0.17136929460580916,0.7291119691119691
confess_jackson,jackson,confess,530,high_prior,Jackson is training for a marathon,block1,0.29000000000000004,0,13: Jackson ran 10 miles,Jackson ran 10 miles,Jackson ran 10 miles,factH,Jackson ran 10 miles-factH,0.794718826405868,0.7780568459657702,0.8111986552567236,0.3297807025957143,-0.3379253112033195,0.002074688796680498,0.29081081081081084
confess_jackson,jackson,confess,534,high_prior,Jackson is training for a marathon,block1,0.46,0.74,13: Jackson ran 10 miles,Jackson ran 10 miles,Jackson ran 10 miles,factH,Jackson ran 10 miles-factH,0.794718826405868,0.7780568459657702,0.8111986552567236,0.3297807025957143,-0.1679253112033195,0.7390041493775933,0.4601544401544402
confess_jackson,jackson,confess,581,low_prior,Jackson is obese,block1,0.42,0.28,13: Jackson ran 10 miles,Jackson ran 10 miles,Jackson ran 10 miles,factL,Jackson ran 10 miles-factL,0.15021881838074397,0.1357100656455142,0.16622100656455144,-0.31471930542940973,-0.20792531120331953,0.2809128630705394,0.4203088803088803
confess_jayden,jayden,confess,37,high_prior,Jayden's car is in the shop,block1,0.64,0.29,14: Jayden rented a car,Jayden rented a car,Jayden rented a car,factH,Jayden rented a car-factH,0.6610697674418604,0.6415965116279069,0.6797767441860465,0.1961316436317067,0.0120746887966805,0.2908713692946058,0.6394594594594595
confess_jayden,jayden,confess,99,high_prior,Jayden's car is in the shop,block1,0.03000000000000002,0.15,14: Jayden rented a car,Jayden rented a car,Jayden rented a car,factH,Jayden rented a car-factH,0.6610697674418604,0.6415965116279069,0.6797767441860465,0.1961316436317067,-0.5979253112033195,0.15145228215767634,0.03181467181467183
confess_jayden,jayden,confess,145,low_prior,Jayden doesn't have a driver's license,block1,0.47,0.39,14: Jayden rented a car,Jayden rented a car,Jayden rented a car,factL,Jayden rented a car-factL,0.12252293577981654,0.10384461009174312,0.14429300458715597,-0.34241518803033716,-0.15792531120331954,0.39045643153526977,0.4701158301158301
confess_jayden,jayden,confess,147,low_prior,Jayden doesn't have a driver's license,block1,1,0,14: Jayden rented a car,Jayden rented a car,Jayden rented a car,factL,Jayden rented a car-factL,0.12252293577981654,0.10384461009174312,0.14429300458715597,-0.34241518803033716,0.3720746887966805,0.002074688796680498,0.9980694980694981
