trigger_class,prior,workerid,rt,Answer.time_in_minutes,trigger,prior_fact,slide_number_in_experiment,response,question_type,content,block,short_trigger
C,low_prior,2,23112,11.41945,reveal,Emma is in first grade,25,0.97,ai,emma,block1,reveal
C,high_prior,2,11856,11.41945,prove,Danny loves cake,26,0.99,ai,danny,block1,prove
MC,,2,6912,11.41945,MC,Muffins are sold at the bakery,27,1,ai,muffins,block1,MC
MC,,2,6087,11.41945,MC,Hats are worn on the head,28,1,ai,hat,block1,MC
C,low_prior,2,10224,11.41945,hear,Olivia has two small children,29,0,ai,olivia,block1,hear
MC,,2,5312,11.41945,MC,Pizza is sold at the pizzeria,30,1,ai,pizza,block1,MC
MC,,2,7911,11.41945,MC,Ballet is a type of dance,32,0,projective,ballet,block2,MC
C,high_prior,2,20104,11.41945,confirm,Josie loves France,33,0,projective,josie,block2,confirm
C,low_prior,2,7543,11.41945,acknowledge,Sophia is a high end fashion model,34,0,projective,sophia,block2,acknowledge
MC,,2,3287,11.41945,MC,Muffins are sold at the bakery,35,0,projective,muffins,block2,MC
C,high_prior,2,8591,11.41945,say,Charley lives in Mexico,36,0,projective,charley,block2,say
C,low_prior,2,3936,11.41945,inform,Julian is German,37,0,projective,julian,block2,inform
C,low_prior,2,8673,11.41945,establish,Tony has been sober for 20 years,38,0,projective,tony,block2,establish
MC,,2,5287,11.41945,MC,Garages are used to store cars and other things,39,0,projective,garage,block2,MC
C,low_prior,2,5999,11.41945,reveal,Emma is in first grade,40,0,projective,emma,block2,reveal
MC,,2,2944,11.41945,MC,Pizza is sold at the pizzeria,41,0,projective,pizza,block2,MC
C,low_prior,2,8561,11.41945,be_right,Jayden doesn't have a driver's license,42,0,projective,jayden,block2,be_right
MC,,2,3344,11.41945,MC,Many children like ice cream,43,0,projective,kids,block2,MC
MC,,2,5231,11.41945,MC,Hats are worn on the head,44,0,projective,hat,block2,MC
C,high_prior,2,18288,11.41945,think,Owen lives in Chicago,45,0.63,projective,owen,block2,think
C,high_prior,2,9368,11.41945,admit,Mary is taking a prenatal yoga class,46,1,projective,mary,block2,admit
C,low_prior,2,4655,11.41945,be_annoyed,Zoe is 5 years old,47,0.77,projective,zoe,block2,be_annoyed
C,low_prior,2,5216,11.41945,announce,Mia is a nun,48,0,projective,mia,block2,announce
C,low_prior,2,6272,11.41945,see,Emily never has any money,49,0,projective,emily,block2,see
C,low_prior,2,6568,11.41945,hear,Olivia has two small children,50,0,projective,olivia,block2,hear
C,high_prior,2,9416,11.41945,discover,Josh is a 5-year old boy,51,0.2,projective,josh,block2,discover
C,high_prior,2,7080,11.41945,confess,Frank has always wanted a pet,52,0.66,projective,frank,block2,confess
C,high_prior,2,3624,11.41945,prove,Danny loves cake,53,0.75,projective,danny,block2,prove
C,high_prior,2,3672,11.41945,know,Jackson is training for a marathon,54,1,projective,jackson,block2,know
C,high_prior,2,4656,11.41945,pretend,Jon lives 2 blocks away from work,55,0.22,projective,jon,block2,pretend
C,low_prior,2,3888,11.41945,demonstrate,Isabella is a vegetarian,56,0.2,projective,isabella,block2,demonstrate
C,high_prior,2,13000,11.41945,suggest,Grace loves her sister,57,0.18,projective,grace,block2,suggest
C,high_prior,3,13662,8.092116666666668,reveal,Olivia works the third shift,5,0,ai,olivia,block1,reveal
C,low_prior,3,10060,8.092116666666668,pretend,Tony has been sober for 20 years,6,0,ai,tony,block1,pretend
C,low_prior,3,10745,8.092116666666668,think,Frank is allergic to cats,7,0,ai,frank,block1,think
C,high_prior,3,19955,8.092116666666668,suggest,Emma is in law school,8,0.61,ai,emma,block1,suggest
C,low_prior,3,7335,8.092116666666668,see,Sophia is a high end fashion model,9,0,ai,sophia,block1,see
MC,,3,7536,8.092116666666668,MC,Garages are used to store cars and other things,10,1,ai,garage,block1,MC
C,low_prior,3,8146,8.092116666666668,know,Owen lives in New Orleans,11,0,ai,owen,block1,know
C,high_prior,3,17864,8.092116666666668,announce,Josh is a 5-year old boy,12,0.8,ai,josh,block1,announce
C,high_prior,3,16012,8.092116666666668,discover,Isabella is from Argentina,13,0.1,ai,isabella,block1,discover
C,high_prior,3,10742,8.092116666666668,confess,Josie loves France,14,0.65,ai,josie,block1,confess
C,high_prior,3,4551,8.092116666666668,be_right,Jackson is training for a marathon,15,1,ai,jackson,block1,be_right
C,high_prior,3,6037,8.092116666666668,be_annoyed,Julian is Cuban,16,0,ai,julian,block1,be_annoyed
MC,,3,5500,8.092116666666668,MC,Hats are worn on the head,17,1,ai,hat,block1,MC
C,low_prior,3,8970,8.092116666666668,demonstrate,Jon lives 10 miles away from work,18,0.76,ai,jon,block1,demonstrate
C,low_prior,3,7144,8.092116666666668,inform,Danny is a diabetic,19,0.18,ai,danny,block1,inform
MC,,3,7153,8.092116666666668,MC,Muffins are sold at the bakery,20,1,ai,muffins,block1,MC
C,high_prior,3,7153,8.092116666666668,establish,Charley lives in Mexico,21,0.88,ai,charley,block1,establish
C,low_prior,3,7185,8.092116666666668,admit,Mary is a middle school student,22,0.9,ai,mary,block1,admit
MC,,3,7691,8.092116666666668,MC,Many children like ice cream,23,1,ai,kids,block1,MC
C,low_prior,3,8594,8.092116666666668,hear,Mia is a nun,24,0,ai,mia,block1,hear
C,high_prior,3,5952,8.092116666666668,say,Zoe is a math major,25,1,ai,zoe,block1,say
MC,,3,4740,8.092116666666668,MC,Pizza is sold at the pizzeria,26,1,ai,pizza,block1,MC
MC,,3,8719,8.092116666666668,MC,Ballet is a type of dance,27,1,ai,ballet,block1,MC
C,high_prior,3,5695,8.092116666666668,confirm,Grace loves her sister,28,0.86,ai,grace,block1,confirm
C,low_prior,3,8525,8.092116666666668,acknowledge,Jayden doesn't have a driver's license,29,0.86,ai,jayden,block1,acknowledge
C,low_prior,3,8363,8.092116666666668,prove,Emily never has any money,30,0.63,ai,emily,block1,prove
C,low_prior,3,8075,8.092116666666668,demonstrate,Jon lives 10 miles away from work,32,0,projective,jon,block2,demonstrate
C,low_prior,3,5942,8.092116666666668,think,Frank is allergic to cats,33,0.17,projective,frank,block2,think
MC,,3,8753,8.092116666666668,MC,Many children like ice cream,34,0,projective,kids,block2,MC
C,high_prior,3,6426,8.092116666666668,confirm,Grace loves her sister,35,0,projective,grace,block2,confirm
C,high_prior,3,9515,8.092116666666668,announce,Josh is a 5-year old boy,36,0.26,projective,josh,block2,announce
MC,,3,6250,8.092116666666668,MC,Ballet is a type of dance,37,0,projective,ballet,block2,MC
MC,,3,3650,8.092116666666668,MC,Pizza is sold at the pizzeria,38,0,projective,pizza,block2,MC
C,low_prior,3,5392,8.092116666666668,prove,Emily never has any money,39,0,projective,emily,block2,prove
C,low_prior,3,4461,8.092116666666668,admit,Mary is a middle school student,40,0,projective,mary,block2,admit
C,low_prior,3,6071,8.092116666666668,acknowledge,Jayden doesn't have a driver's license,41,0.15,projective,jayden,block2,acknowledge
MC,,3,12451,8.092116666666668,MC,Hats are worn on the head,42,0,projective,hat,block2,MC
C,high_prior,3,5148,8.092116666666668,suggest,Emma is in law school,43,0,projective,emma,block2,suggest
C,high_prior,3,7088,8.092116666666668,say,Zoe is a math major,44,0.12,projective,zoe,block2,say
C,low_prior,3,6257,8.092116666666668,hear,Mia is a nun,45,1,projective,mia,block2,hear
C,low_prior,3,8053,8.092116666666668,inform,Danny is a diabetic,46,0.92,projective,danny,block2,inform
C,high_prior,3,6207,8.092116666666668,be_right,Jackson is training for a marathon,47,0,projective,jackson,block2,be_right
C,high_prior,3,5911,8.092116666666668,be_annoyed,Julian is Cuban,48,1,projective,julian,block2,be_annoyed
C,low_prior,3,5736,8.092116666666668,see,Sophia is a high end fashion model,49,1,projective,sophia,block2,see
C,high_prior,3,8253,8.092116666666668,reveal,Olivia works the third shift,50,0.58,projective,olivia,block2,reveal
MC,,3,6424,8.092116666666668,MC,Muffins are sold at the bakery,51,0,projective,muffins,block2,MC
C,low_prior,3,5942,8.092116666666668,pretend,Tony has been sober for 20 years,52,0,projective,tony,block2,pretend
C,high_prior,3,5428,8.092116666666668,discover,Isabella is from Argentina,53,1,projective,isabella,block2,discover
C,high_prior,3,9309,8.092116666666668,confess,Josie loves France,54,0.2,projective,josie,block2,confess
MC,,3,5894,8.092116666666668,MC,Garages are used to store cars and other things,55,0,projective,garage,block2,MC
C,high_prior,3,10621,8.092116666666668,establish,Charley lives in Mexico,56,0.32,projective,charley,block2,establish
C,low_prior,3,7837,8.092116666666668,know,Owen lives in New Orleans,57,0.92,projective,owen,block2,know
C,high_prior,4,36355,19.607233333333333,see,Mia is a college student,5,0.33,projective,mia,block1,see
MC,,4,67036,19.607233333333333,MC,Many children like ice cream,6,0.25,projective,kids,block1,MC
C,high_prior,4,11620,19.607233333333333,know,Josie loves France,7,0.49,projective,josie,block1,know
C,low_prior,4,10924,19.607233333333333,pretend,Olivia has two small children,8,0.27,projective,olivia,block1,pretend
C,low_prior,4,10420,19.607233333333333,acknowledge,Zoe is 5 years old,9,0.12,projective,zoe,block1,acknowledge
C,high_prior,4,19348,19.607233333333333,suggest,Jackson is training for a marathon,10,0.55,projective,jackson,block1,suggest
MC,,4,7572,19.607233333333333,MC,Muffins are sold at the bakery,11,0.19,projective,muffins,block1,MC
C,high_prior,4,14732,19.607233333333333,announce,Josh is a 5-year old boy,12,0.15,projective,josh,block1,announce
C,high_prior,4,15100,19.607233333333333,be_annoyed,Sophia is a hipster,13,0.45,projective,sophia,block1,be_annoyed
C,high_prior,4,30864,19.607233333333333,discover,Jon lives 2 blocks away from work,14,0.68,projective,jon,block1,discover
MC,,4,17748,19.607233333333333,MC,Ballet is a type of dance,15,0.24,projective,ballet,block1,MC
MC,,4,101940,19.607233333333333,MC,Hats are worn on the head,16,0.19,projective,hat,block1,MC
C,low_prior,4,9144,19.607233333333333,demonstrate,Mary is a middle school student,17,0.11,projective,mary,block1,demonstrate
C,low_prior,4,5968,19.607233333333333,prove,Tony has been sober for 20 years,18,0.08,projective,tony,block1,prove
C,low_prior,4,13512,19.607233333333333,confess,Emily never has any money,19,0.09,projective,emily,block1,confess
C,low_prior,4,17884,19.607233333333333,admit,Grace hates her sister,20,0.09,projective,grace,block1,admit
C,low_prior,4,7372,19.607233333333333,hear,Charley lives in Korea,21,0.18,projective,charley,block1,hear
MC,,4,10492,19.607233333333333,MC,Garages are used to store cars and other things,22,0.22,projective,garage,block1,MC
C,low_prior,4,20896,19.607233333333333,think,Isabella is a vegetarian,23,0.14,projective,isabella,block1,think
C,high_prior,4,19956,19.607233333333333,be_right,Owen lives in Chicago,24,0.14,projective,owen,block1,be_right
C,low_prior,4,47404,19.607233333333333,reveal,Frank is allergic to cats,25,0.65,projective,frank,block1,reveal
C,high_prior,4,13160,19.607233333333333,inform,Danny loves cake,26,0.65,projective,danny,block1,inform
C,high_prior,4,22280,19.607233333333333,establish,Jayden's car is in the shop,27,0.28,projective,jayden,block1,establish
C,high_prior,4,21952,19.607233333333333,say,Emma is in law school,28,0.27,projective,emma,block1,say
C,low_prior,4,8851,19.607233333333333,confirm,Julian is German,29,0.06,projective,julian,block1,confirm
MC,,4,9411,19.607233333333333,MC,Pizza is sold at the pizzeria,30,0.12,projective,pizza,block1,MC
MC,,4,7455,19.607233333333333,MC,Pizza is sold at the pizzeria,32,0.88,ai,pizza,block2,MC
C,low_prior,4,56423,19.607233333333333,confirm,Julian is German,33,0.64,ai,julian,block2,confirm
MC,,4,4164,19.607233333333333,MC,Muffins are sold at the bakery,34,0.86,ai,muffins,block2,MC
C,high_prior,4,13420,19.607233333333333,discover,Jon lives 2 blocks away from work,35,0.31,ai,jon,block2,discover
C,high_prior,4,11176,19.607233333333333,suggest,Jackson is training for a marathon,36,0.63,ai,jackson,block2,suggest
C,low_prior,4,22552,19.607233333333333,pretend,Olivia has two small children,37,0.2,ai,olivia,block2,pretend
C,low_prior,4,12552,19.607233333333333,admit,Grace hates her sister,38,0.15,ai,grace,block2,admit
C,low_prior,4,14615,19.607233333333333,confess,Emily never has any money,39,0.17,ai,emily,block2,confess
C,low_prior,4,11427,19.607233333333333,reveal,Frank is allergic to cats,40,0.49,ai,frank,block2,reveal
C,high_prior,4,17187,19.607233333333333,be_right,Owen lives in Chicago,41,0.2,ai,owen,block2,be_right
MC,,4,7584,19.607233333333333,MC,Hats are worn on the head,42,0.89,ai,hat,block2,MC
C,high_prior,4,8899,19.607233333333333,see,Mia is a college student,43,0.37,ai,mia,block2,see
MC,,4,4388,19.607233333333333,MC,Ballet is a type of dance,44,0.92,ai,ballet,block2,MC
C,low_prior,4,51932,19.607233333333333,prove,Tony has been sober for 20 years,45,0.24,ai,tony,block2,prove
C,high_prior,4,9240,19.607233333333333,establish,Jayden's car is in the shop,46,0.33,ai,jayden,block2,establish
C,high_prior,4,8508,19.607233333333333,say,Emma is in law school,47,0.32,ai,emma,block2,say
C,low_prior,4,12428,19.607233333333333,hear,Charley lives in Korea,48,0.55,ai,charley,block2,hear
MC,,4,11088,19.607233333333333,MC,Many children like ice cream,49,0.85,ai,kids,block2,MC
C,low_prior,4,190704,19.607233333333333,acknowledge,Zoe is 5 years old,50,0.3,ai,zoe,block2,acknowledge
C,high_prior,4,9912,19.607233333333333,know,Josie loves France,51,0.3,ai,josie,block2,know
C,high_prior,4,5128,19.607233333333333,inform,Danny loves cake,52,0.29,ai,danny,block2,inform
MC,,4,3812,19.607233333333333,MC,Garages are used to store cars and other things,53,0.95,ai,garage,block2,MC
C,high_prior,4,3580,19.607233333333333,be_annoyed,Sophia is a hipster,54,0.22,ai,sophia,block2,be_annoyed
C,high_prior,4,5672,19.607233333333333,announce,Josh is a 5-year old boy,55,0.25,ai,josh,block2,announce
C,low_prior,4,13084,19.607233333333333,demonstrate,Mary is a middle school student,56,0.66,ai,mary,block2,demonstrate
C,low_prior,4,7216,19.607233333333333,think,Isabella is a vegetarian,57,0.29,ai,isabella,block2,think
MC,,5,9391,10.424333333333333,MC,Pizza is sold at the pizzeria,5,0.02,projective,pizza,block1,MC
C,high_prior,5,10950,10.424333333333333,confess,Charley lives in Mexico,6,0.82,projective,charley,block1,confess
C,high_prior,5,17029,10.424333333333333,confirm,Josh is a 5-year old boy,7,0.6,projective,josh,block1,confirm
C,low_prior,5,8345,10.424333333333333,admit,Grace hates her sister,8,0.82,projective,grace,block1,admit
MC,,5,10282,10.424333333333333,MC,Garages are used to store cars and other things,9,0.13,projective,garage,block1,MC
MC,,5,8226,10.424333333333333,MC,Many children like ice cream,10,0.29,projective,kids,block1,MC
C,high_prior,5,4536,10.424333333333333,prove,Tony really likes to party with his friends,11,0.76,projective,tony,block1,prove
MC,,5,4830,10.424333333333333,MC,Ballet is a type of dance,12,0.07,projective,ballet,block1,MC
C,low_prior,5,9407,10.424333333333333,think,Isabella is a vegetarian,13,0.46,projective,isabella,block1,think
C,low_prior,5,8149,10.424333333333333,hear,Emma is in first grade,14,0.79,projective,emma,block1,hear
C,high_prior,5,19919,10.424333333333333,inform,Jayden's car is in the shop,15,0.55,projective,jayden,block1,inform
C,low_prior,5,12155,10.424333333333333,know,Zoe is 5 years old,16,0.62,projective,zoe,block1,know
C,low_prior,5,10768,10.424333333333333,establish,Emily never has any money,17,0.35,projective,emily,block1,establish
C,low_prior,5,20228,10.424333333333333,reveal,Olivia has two small children,18,0.72,projective,olivia,block1,reveal
C,high_prior,5,6645,10.424333333333333,pretend,Frank has always wanted a pet,19,0.31,projective,frank,block1,pretend
