content,trigger_class,block,question_type,workerid,slide_number_in_experiment,prior_fact,rt,Answer.time_in_minutes,trigger,prior,response,short_trigger
jackson,C,block1,projective,3,21,Jackson is training for a marathon,696,5.79545,inform,high_prior,0.62,inform
isabella,C,block1,projective,3,22,Isabella is a vegetarian,712,5.79545,establish,low_prior,0.42,establish
ballet,MC,block1,projective,3,23,Ballet is a type of dance,1481,5.79545,MC,,0.62,MC
josh,C,block1,projective,3,24,Josh is a 5-year old boy,1503,5.79545,confess,high_prior,0.35,confess
pizza,MC,block1,projective,3,25,Pizza is sold at the pizzeria,713,5.79545,MC,,0.55,MC
garage,MC,block1,projective,3,26,Garages are used to store cars and other things,750,5.79545,MC,,0.68,MC
owen,C,block1,projective,3,27,Owen lives in Chicago,727,5.79545,say,high_prior,0.51,say
emma,C,block1,projective,3,28,Emma is in first grade,735,5.79545,acknowledge,low_prior,0.68,acknowledge
charley,C,block1,projective,3,29,Charley lives in Mexico,1768,5.79545,prove,high_prior,0.71,prove
frank,C,block1,projective,3,30,Frank is allergic to cats,25677,5.79545,be_annoyed,low_prior,0.5,be_annoyed
mia,C,block2,prior,3,32,Mia is a nun,1466,5.79545,admit,low_prior,0.57,admit
ballet,MC,block2,prior,3,33,Ballet is a type of dance,27659,5.79545,MC,,0.57,MC
josh,C,block2,prior,3,34,Josh is a 5-year old boy,1237,5.79545,confess,high_prior,0.78,confess
hat,MC,block2,prior,3,35,Hats are worn on the head,1616,5.79545,MC,,0.85,MC
pizza,MC,block2,prior,3,36,Pizza is sold at the pizzeria,808,5.79545,MC,,0.49,MC
jayden,C,block2,prior,3,37,Jayden doesn't have a driver's license,1023,5.79545,suggest,low_prior,0.42,suggest
garage,MC,block2,prior,3,38,Garages are used to store cars and other things,912,5.79545,MC,,0.71,MC
frank,C,block2,prior,3,39,Frank is allergic to cats,840,5.79545,be_annoyed,low_prior,0.47,be_annoyed
owen,C,block2,prior,3,40,Owen lives in Chicago,1287,5.79545,say,high_prior,0.63,say
kids,MC,block2,prior,3,41,Many children like ice cream,944,5.79545,MC,,0.42,MC
tony,C,block2,prior,3,42,Tony has been sober for 20 years,1648,5.79545,discover,low_prior,0.76,discover
emily,C,block2,prior,3,43,Emily never has any money,1576,5.79545,know,low_prior,0.53,know
josie,C,block2,prior,3,44,Josie doesn't have a passport,1823,5.79545,think,low_prior,0.75,think
isabella,C,block2,prior,3,45,Isabella is a vegetarian,1265,5.79545,establish,low_prior,0.35,establish
grace,C,block2,prior,3,46,Grace loves her sister,1400,5.79545,pretend,high_prior,0.91,pretend
charley,C,block2,prior,3,47,Charley lives in Mexico,1430,5.79545,prove,high_prior,0.53,prove
jon,C,block2,prior,3,48,Jon lives 10 miles away from work,984,5.79545,demonstrate,low_prior,0.82,demonstrate
jackson,C,block2,prior,3,49,Jackson is training for a marathon,2239,5.79545,inform,high_prior,0.52,inform
olivia,C,block2,prior,3,50,Olivia has two small children,958,5.79545,hear,low_prior,0.75,hear
sophia,C,block2,prior,3,51,Sophia is a hipster,1017,5.79545,confirm,high_prior,0.46,confirm
emma,C,block2,prior,3,52,Emma is in first grade,959,5.79545,acknowledge,low_prior,0.66,acknowledge
julian,C,block2,prior,3,53,Julian is Cuban,936,5.79545,announce,high_prior,0.51,announce
mary,C,block2,prior,3,54,Mary is taking a prenatal yoga class,1119,5.79545,be_right,high_prior,0.83,be_right
muffins,MC,block2,prior,3,55,Muffins are sold at the bakery,912,5.79545,MC,,0.41,MC
zoe,C,block2,prior,3,56,Zoe is a math major,912,5.79545,reveal,high_prior,0.69,reveal
danny,C,block2,prior,3,57,Danny loves cake,1032,5.79545,see,high_prior,0.49,see
pizza,MC,block1,prior,4,5,Pizza is sold at the pizzeria,4750,8.12415,MC,,0.46,MC
charley,C,block1,prior,4,6,Charley lives in Mexico,4470,8.12415,inform,high_prior,0.82,inform
mary,C,block1,prior,4,7,Mary is a middle school student,4487,8.12415,say,low_prior,0.16,say
emma,C,block1,prior,4,8,Emma is in first grade,6359,8.12415,confess,low_prior,0.24,confess
muffins,MC,block1,prior,4,9,Muffins are sold at the bakery,3285,8.12415,MC,,0.6,MC
jackson,C,block1,prior,4,10,Jackson is training for a marathon,3860,8.12415,confirm,high_prior,0.61,confirm
danny,C,block1,prior,4,11,Danny loves cake,15073,8.12415,announce,high_prior,0.62,announce
isabella,C,block1,prior,4,12,Isabella is from Argentina,3702,8.12415,suggest,high_prior,0.5,suggest
hat,MC,block1,prior,4,13,Hats are worn on the head,3477,8.12415,MC,,0.5,MC
mia,C,block1,prior,4,14,Mia is a college student,3860,8.12415,hear,high_prior,0.59,hear
jon,C,block1,prior,4,15,Jon lives 10 miles away from work,4079,8.12415,think,low_prior,0.24,think
kids,MC,block1,prior,4,16,Many children like ice cream,5365,8.12415,MC,,0.54,MC
owen,C,block1,prior,4,17,Owen lives in Chicago,3853,8.12415,prove,high_prior,0.5,prove
josie,C,block1,prior,4,18,Josie doesn't have a passport,27676,8.12415,be_annoyed,low_prior,0.03,be_annoyed
josh,C,block1,prior,4,19,Josh is a 5-year old boy,3046,8.12415,see,high_prior,0.5,see
olivia,C,block1,prior,4,20,Olivia has two small children,3452,8.12415,be_right,low_prior,0.14,be_right
garage,MC,block1,prior,4,21,Garages are used to store cars and other things,5947,8.12415,MC,,0.35,MC
sophia,C,block1,prior,4,22,Sophia is a high end fashion model,3891,8.12415,admit,low_prior,0.29,admit
jayden,C,block1,prior,4,23,Jayden's car is in the shop,4470,8.12415,pretend,high_prior,0.69,pretend
julian,C,block1,prior,4,24,Julian is German,2932,8.12415,know,low_prior,0.49,know
grace,C,block1,prior,4,25,Grace loves her sister,3598,8.12415,establish,high_prior,0.63,establish
ballet,MC,block1,prior,4,26,Ballet is a type of dance,3964,8.12415,MC,,0.47,MC
tony,C,block1,prior,4,27,Tony has been sober for 20 years,3366,8.12415,discover,low_prior,0.06,discover
frank,C,block1,prior,4,28,Frank has always wanted a pet,3291,8.12415,demonstrate,high_prior,0.64,demonstrate
emily,C,block1,prior,4,29,Emily never has any money,3012,8.12415,reveal,low_prior,0.05,reveal
zoe,C,block1,prior,4,30,Zoe is 5 years old,2692,8.12415,acknowledge,low_prior,0.05,acknowledge
julian,C,block2,projective,4,32,Julian is German,41444,8.12415,know,low_prior,0.93,know
mia,C,block2,projective,4,33,Mia is a college student,5345,8.12415,hear,high_prior,0.98,hear
mary,C,block2,projective,4,34,Mary is a middle school student,5096,8.12415,say,low_prior,0.02,say
josie,C,block2,projective,4,35,Josie doesn't have a passport,10512,8.12415,be_annoyed,low_prior,0.91,be_annoyed
grace,C,block2,projective,4,36,Grace loves her sister,5280,8.12415,establish,high_prior,0.06,establish
jackson,C,block2,projective,4,37,Jackson is training for a marathon,3414,8.12415,confirm,high_prior,0.04,confirm
zoe,C,block2,projective,4,38,Zoe is 5 years old,5179,8.12415,acknowledge,low_prior,0.87,acknowledge
jayden,C,block2,projective,4,39,Jayden's car is in the shop,4871,8.12415,pretend,high_prior,0.06,pretend
olivia,C,block2,projective,4,40,Olivia has two small children,103661,8.12415,be_right,low_prior,0.04,be_right
owen,C,block2,projective,4,41,Owen lives in Chicago,8581,8.12415,prove,high_prior,0.06,prove
emma,C,block2,projective,4,42,Emma is in first grade,4134,8.12415,confess,low_prior,0.8,confess
muffins,MC,block2,projective,4,43,Muffins are sold at the bakery,3100,8.12415,MC,,0.05,MC
kids,MC,block2,projective,4,44,Many children like ice cream,2844,8.12415,MC,,0.04,MC
hat,MC,block2,projective,4,45,Hats are worn on the head,3348,8.12415,MC,,0.03,MC
jon,C,block2,projective,4,46,Jon lives 10 miles away from work,4768,8.12415,think,low_prior,0.03,think
isabella,C,block2,projective,4,47,Isabella is from Argentina,3827,8.12415,suggest,high_prior,0.03,suggest
garage,MC,block2,projective,4,48,Garages are used to store cars and other things,2764,8.12415,MC,,0.02,MC
sophia,C,block2,projective,4,49,Sophia is a high end fashion model,6023,8.12415,admit,low_prior,0.04,admit
frank,C,block2,projective,4,50,Frank has always wanted a pet,6347,8.12415,demonstrate,high_prior,0.05,demonstrate
charley,C,block2,projective,4,51,Charley lives in Mexico,4358,8.12415,inform,high_prior,0.89,inform
ballet,MC,block2,projective,4,52,Ballet is a type of dance,3958,8.12415,MC,,0.04,MC
tony,C,block2,projective,4,53,Tony has been sober for 20 years,3678,8.12415,discover,low_prior,0.94,discover
emily,C,block2,projective,4,54,Emily never has any money,4748,8.12415,reveal,low_prior,0.06,reveal
danny,C,block2,projective,4,55,Danny loves cake,5590,8.12415,announce,high_prior,0.06,announce
josh,C,block2,projective,4,56,Josh is a 5-year old boy,3134,8.12415,see,high_prior,0.96,see
pizza,MC,block2,projective,4,57,Pizza is sold at the pizzeria,2418,8.12415,MC,,0.03,MC
isabella,C,block1,projective,5,5,Isabella is from Argentina,13561,8.985416666666667,suggest,high_prior,0.14,suggest
jon,C,block1,projective,5,6,Jon lives 2 blocks away from work,8513,8.985416666666667,discover,high_prior,0.8,discover
jayden,C,block1,projective,5,7,Jayden doesn't have a driver's license,7206,8.985416666666667,acknowledge,low_prior,0.89,acknowledge
charley,C,block1,projective,5,8,Charley lives in Mexico,7923,8.985416666666667,inform,high_prior,0.91,inform
jackson,C,block1,projective,5,9,Jackson is training for a marathon,7724,8.985416666666667,be_annoyed,high_prior,0.96,be_annoyed
grace,C,block1,projective,5,10,Grace hates her sister,12291,8.985416666666667,admit,low_prior,0.89,admit
olivia,C,block1,projective,5,11,Olivia has two small children,8971,8.985416666666667,say,low_prior,0.07,say
