short_trigger,contentFact,Mean_prior,YMin_prior,YMax_prior,Mean_proj,YMin_proj,YMax_proj,Mean_ai,YMin_ai,YMax_ai
demonstrate,Grace visited her sister-factL,0.22,0.01999999999999999,0.41,0.22,0.09450000000000011,0.38,0.5166666666666667,0.29000000000000004,0.81
demonstrate,Isabella ate a steak on Sunday-factH,0.4588888888888889,0.3244166666666667,0.5689166666666666,0.33444444444444443,0.17441666666666664,0.4989166666666666,0.6166666666666667,0.40552777777777776,0.8177777777777778
demonstrate,Isabella ate a steak on Sunday-factL,0.12833333333333335,0.024999999999999994,0.29000000000000004,0.24833333333333335,0.07,0.485,0.52,0.3266666666666667,0.7333333333333334
demonstrate,Jackson ran 10 miles-factH,0.83,0.7313928571428572,0.9228928571428571,0.72,0.5985714285714285,0.8357142857142857,0.6228571428571429,0.36710714285714285,0.8285714285714286
demonstrate,Jackson ran 10 miles-factL,0.135,0.06,0.21000000000000002,0.4666666666666667,0.313,0.6402499999999998,0.4383333333333333,0.195,0.72
demonstrate,Jayden rented a car-factH,0.866,0.762,0.966,0.432,0.14775,0.732,0.402,0.08600000000000002,0.7180000000000001
demonstrate,Jayden rented a car-factL,0.3225,0.015000000000000013,0.6316249999999984,0.2425,0.1175,0.37,0.245,0.025000000000000022,0.5325
demonstrate,Jon walks to work-factH,0.799,0.697875,0.883,0.5680000000000001,0.41495000000000004,0.71,0.403,0.225,0.5970249999999999
demonstrate,Jon walks to work-factL,0.1742857142857143,0.10996428571428571,0.24860714285714283,0.5857142857142857,0.3542857142857143,0.7842857142857143,0.24571428571428572,0.09571428571428572,0.5071428571428571
demonstrate,Josh learned to ride a bike yesterday-factH,0.5233333333333333,0.5,0.57,0.33666666666666667,0,0.51,0.3466666666666667,0,1
demonstrate,Josh learned to ride a bike yesterday-factL,0.14625,0.06618750000000001,0.25137499999999985,0.74125,0.58125,0.8851249999999999,0.6225,0.3512187499999999,0.88253125
demonstrate,Josie went on vacation to France-factH,0.74375,0.5911249999999999,0.86375,0.435,0.246125,0.6087812499999999,0.61375,0.39865625000000005,0.8275
demonstrate,Josie went on vacation to France-factL,0.10666666666666666,0.007777777777777772,0.20891666666666667,0.25333333333333335,0.1343888888888889,0.3878888888888888,0.46,0.26,0.6966666666666667
demonstrate,Julian dances salsa-factH,0.45,0.30714285714285716,0.5929285714285714,0.40285714285714286,0.18285714285714286,0.6157142857142858,0.5185714285714286,0.2899642857142857,0.7457142857142857
demonstrate,Julian dances salsa-factL,0.295,0.1,0.49,0.34,0,0.68,0.995,0.99,1
